artist,start,end,stage
Jaqck Glam,3:40 PM,4:40 PM,Coachella Stage
Young Miko,4:45 PM,5:30 PM,Coachella Stage
Sabrina Carpenter,6:00 PM,7:00 PM,Coachella Stage
Lil Uzi Vert,7:35 PM,8:20 PM,Coachella Stage
Peso Pluma,9:05 PM,10:10 PM,Coachella Stage
Lana Del Rey,11:20 PM,CLOSE,Coachella Stage
Spiñorita,4:15 PM,5:15 PM,Outdoor Theater
L'Impératrice,5:25 PM,6:10 PM,Outdoor Theater
Deftones,6:45 PM,7:35 PM,Outdoor Theater
Everything Always,8:10 PM,9:25 PM,Outdoor Theater
Justice,10:15 PM,CLOSE,Outdoor Theater
Jim Smith,1:00 PM,2:00 PM,Sonora
Upchuck,2:00 PM,2:30 PM,Sonora
Narrow Head,2:50 PM,3:25 PM,Sonora
late night drive home,3:50 PM,4:25 PM,Sonora
The Beths,4:50 PM,5:30 PM,Sonora
Eartheater,5:55 PM,6:35 PM,Sonora
Black Country New Road,8:00 PM,8:40 PM,Sonora
Clown Core,9:05 PM,9:55 PM,Sonora
Son Rompe Pera,10:20 PM,CLOSE,Sonora
Cimafunk,2:00 PM,2:40 PM,Gobi
Kokoroko,3:10 PM,3:50 PM,Gobi
Sid Sriam,4:20 PM,5:00 PM,Gobi
Chappell Roan,5:30 PM,6:15 PM,Gobi
Brittany Howard,6:45 PM,7:30 PM,Gobi
NEIL FRANCES,8:00 PM,8:45 PM,Gobi
Chlöe,9:15 PM,10:00 PM,Gobi
Suki Waterhouse,10:30 PM,CLOSE,Gobi
El Ethos,2:10 PM,3:05 PM,Mojave
Mall Grab,3:15 PM,4:05 PM,Mojave
The Japanese House,4:30 PM,5:10 PM,Mojave
Faye Webster,5:40 PM,6:25 PM,Mojave
Tinashe,6:55 PM,7:50 PM,Mojave
Yoasobi,8:20 PM,9:05 PM,Mojave
Hatsune Miku,9:50 PM,10:40 PM,Mojave
Anti Up,11:15 PM,CLOSE,Mojave
Val Fleury,2:00 PM,2:50 PM,Sahara
Skin On Skin,3:00 PM,3:45 PM,Sahara
Cloonee,4:00 PM,5:00 PM,Sahara
Ken Carson,5:20 PM,6:05 PM,Sahara
Skepta,6:30 PM,7:15 PM,Sahara
Bizarrap,7:45 PM,8:45 PM,Sahara
Peggy Gou,9:15 PM,10:15 PM,Sahara
ATEEZ,10:45 PM,11:35 PM,Sahara
Steve Angello,12:00 AM,CLOSE,Sahara
Keyspan,1:00 PM,2:00 PM,Yuma
Ben Sterling,2:00 PM,3:00 PM,Yuma
Miss Monique,3:00 PM,4:15 PM,Yuma
Innellea,4:15 PM,5:30 PM,Yuma
BLOND:ISH,5:30 PM,6:45 PM,Yuma
Kevin de Vries x Kölsch,6:45 PM,8:15 PM,Yuma
ANOTR,8:15 PM,9:45 PM,Yuma
Adriatique,9:45 PM,11:15 PM,Yuma
Gorgon City,11:15 PM,CLOSE,Yuma
Adam Ten x Mita Gami,5:00 PM,7:15 PM,Quasar
Rüfüs Du Sol (DJ Set),7:15 PM,CLOSE,Quasar
DJ Noah,2:00 PM,3:00 PM,Heineken House
Darci,3:00 PM,4:00 PM,Heineken House
Torren Foot x Kormak,4:00 PM,5:30 PM,Heineken House
Goldfish,5:30 PM,7:00 PM,Heineken House
Bob Sinclar,7:00 PM,8:30 PM,Heineken House
J. Worra,8:30 PM,10:00 PM,Heineken House
Huneycut,1:00 PM,2:10 PM,Do LaB
CocoRosie,2:10 PM,3:10 PM,Do LaB
Sinca,3:10 PM,4:20 PM,Do LaB
HoneyLuv,4:20 PM,5:20 PM,Do LaB
Yung Singh,5:20 PM,6:20 PM,Do LaB
ALLEYCVT,6:20 PM,7:20 PM,Do LaB
Jon Casey,7:20 PM,8:20 PM,Do LaB
Juelz,8:20 PM,9:20 PM,Do LaB
Surprise,9:20 PM,10:20 PM,Do LaB
Surprise,10:20 PM,11:25 PM,Do LaB

